Casación,Número de Expediente,Pretensión/Delito,Tipo Resolución,Fecha Resolución,Sala Suprema,Norma de Derecho Interno,Sumilla,Palabras Clave,Enlace Resolución
Casación,001935-2021,Otorgamiento de Escritura Pública,Ejecutoria Suprema,23/05/2024,Sala Civil Transitoria,,"De la revisión de la sentencia de vista recurrida, no se advierte en alguno de sus extremos que la Sala Superior se haya pronunciado respecto a la apelación que fuera concedida contra resolución que resolvió excepción, consecuentemente, al expedirse la recurrida, se ha producido una afectación del derecho constitucional al debido proceso y a la debida motivación de las resoluciones judiciales.","debido proceso,Debida Motivación,Escritura Pública",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=e3feb6f3-f74d-4b76-a8fd-7f724f7d8fca
Casación,000361-2021,Nulidad de Acto Jurídico,Ejecutoria Suprema,23/05/2024,Sala Civil Transitoria,"Código Civil (D. Leg. 295) : 219,Constitución Política del Perú : 70,Código Procesal Civil : 392-A,Código Civil (D. Leg. 295) : 912","La ausencia de diligencia no permite que se acepte su argumento de la buena fe registral del artículo 2014 del Código Civil que ha sido alegado para reclamar la propiedad del bien inmueble materia de Litis, lo que abona a la tesis de la demandante respecto a que el acto jurídico celebrado entre los codemandados es uno que contiene un fin ilícito, compatible con la infracción de una norma de orden público a que hace referencia el artículo V del Título Preliminar del Código Civil, que subordina la autonomía de la voluntad o autonomía privada al orden público, y garantiza el derecho a la propiedad como parte del mismo, evitando los efectos jurídicos del acto que lo contraviene.","Principio de legitimación registral,Causal de Nulidad Insubsanable,Infracción normativa material, Derecho de posesión, derecho de propiedad,Buena fe registral",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=915fab8b-8294-4aa1-af35-6cd6e1596179
Casación,000105-2021,Desalojo por Ocupación Precaria,Ejecutoria Suprema,23/05/2024,Sala Civil Transitoria,Código Civil (D. Leg. 295) : 911,"La sentencia de vista objeto del recurso de casación, no infracciona el derecho a la motivación de las resoluciones judiciales, ni se aparta del precedente judicial establecido en el IV Pleno Casatorio Civil, en cuanto su motivación se acoge a lo señalado en el mencionado Pleno Casatorio en lo referente a la carencia de titulo o fenecimiento del mismo, dado que, considera que carencia o fenecimiento no alude solo a la falta de documento que acredite propiedad, sino a la ausencia de cualquier acto jurídico o circunstancia que autorice el disfrute de la posesión, por lo que, el recurso de casación debe ser declarado infundado.","Título Posesorio,Posesión precaria",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=7e1c61ea-02c0-4472-905a-6f62c3165035
Casación,001257-2021,Convocatoria a Junta de Asamblea General de Accionistas,Ejecutoria Suprema,23/05/2024,Sala Civil Transitoria,"Ley 26887,Ley 26887","La convocatoria a junta general: es un proceso no contencioso, no casable, pues no existe litigio ni pronunciamiento de fondo sobre el derecho que después podría generarse, dado que en el procedimiento no contencioso no existe conflicto de intereses, que provoque una decisión inatacable, falta la controversia.","Adecuada interpretación de la norma,proceso no contencioso,fallecimiento de un socio mayoritario,interes para obrar",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=448feb66-9d6e-401b-98e7-32c7c7b74418
Casación,000521-2021,"Mejor Derecho de Propiedad,Reivindicación",Ejecutoria Suprema,23/05/2024,Sala Civil Transitoria,"Código Procesal Civil : 188,Código Procesal Civil : 194,Constitución Política del Perú : 139","En el presente caso, la minuta de compraventa de fecha 10 de enero de 1974 constituye un medio probatorio cuya valoración resultaba indispensable para concluir si hubo o no una fractura del tracto sucesivo por parte de los demandados, motivo por el cual se ordena su valoración por parte del juzgado de primera instancia.","Tracto sucesivo,Falta de valoración de medios probatorios,Afectación al debido proceso y la debida motivación,identificación del bien",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=d78da6e5-d6ac-4f2a-bc8e-0dfea36fcae9
Casación,000907-2021,Otorgamiento de Escritura Pública,Ejecutoria Suprema,23/05/2024,Sala Civil Transitoria,"Código Civil (D. Leg. 295) : 1229,Código Procesal Civil : 461,Código Civil (D. Leg. 295) : 1412","No se configura la infracción normativa del artículo 1229 del Código Civil, que establece que: & proceso, sólo se demanda dar formalidad al acto pactado por las p&quot; dado que en el presente proceso, sólo se demanda dar formalidad al acto pactado por las partes intervinientes, en el cual no corresponde discutir aspectos relativos a su validez o los referidos al pago, porque no es materia del proceso, pues se encuentra acreditada la preexistencia del acuerdo arribado entre las partes respecto al levantamiento de las garantías hipotecarias, el cual se ha formado mediante la plena coincidencia de ambas voluntades que es lo que constituye el consentimiento al acto celebrado.","Cumplimiento de la obligación,Otorgamiento de escritura pública,presunción relativa,obligacion mutua,formalidad del acto celebrado",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=57578bdc-93cc-44f1-b01c-e99a97719b68
Casación,032276-2022,"A ingresar,Reivindicación",Ejecutoria Suprema,22/05/2024,Sala de Derecho Constitucional y Social Permanente,,,,https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=00a47827-aa78-4019-9206-da09b8520999
Casación,032102-2022,Prescripción Adquisitiva de Dominio,Ejecutoria Suprema,22/05/2024,Sala de Derecho Constitucional y Social Permanente,,,,https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=50933872-3322-43f0-aa2c-5a06a6ab96ce
Casación,000095-2021,Mejor Derecho de Propiedad,Ejecutoria Suprema,21/05/2024,Sala Civil Transitoria,,"No existe presunción de buena fe registral: la inscripción registral no es ninguna garantía para mantener los efectos jurídicos de la compraventa inscrita, frente a otra no inscrita, pues la realidad extra registral debe primar sobre el registro, claro está, si el titular del derecho inscrito no tuvo una actuación de buena fe, debido que, el comprador sin registro le opuso la posesión del bien.","comprador diligente,realidad extra registral,presunción de buena fe contractualo",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=2088520c-7b83-4baf-9bab-b60295e802cd
Casación,001447-2021,Indemnización por Daños y Perjuicios,Ejecutoria Suprema,21/05/2024,Sala Civil Transitoria,"Código Procesal Civil : VII,Constitución Política del Perú : 139,Código Procesal Civil : 50,Código Procesal Civil : 122,Ley Orgánica del Poder Judicial : 12,D. Leg. 1071","Corresponde a las partes cuestionar la competencia jurisdiccional vía excepción- de convenio arbitral-, y no ser declarado de oficio por el órgano jurisdiccional, toda vez que el artículo 18 del Decreto Legislativo número 1071, establece la posibilidad de renunciar tácitamente al arbitraje. La Sala de mérito ha vulnerado el debido proceso y la tutela jurisdiccional efectiva al declarar la improcedencia de la demanda.","Convenio arbitral,Infracción Normativa Procesal,afectación a la tutela jurisdiccional efectiva,Afectación al debido proceso y la debida motivación,incongruencia ultra petita",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=d03a3424-1755-4426-9977-757155487d30
Casación,001991-2021,Desalojo por Ocupación Precaria,Ejecutoria Suprema,21/05/2024,Sala Civil Transitoria,Código Civil (D. Leg. 295) : 911,"El Ad quem ha omitido considerar debidamente, no solo que el demandado acreditó su posesión sobre el bien sub litis desde el año 2000, sino además, que no se advierte de autos que antes de la interposición de la demanda de desalojo, se haya interpuesto alguna otra acción en contra del demandado respecto a la posesión del bien, y que si bien la resolución administrativa del Organismo de Formalización de la Propiedad Informal - COFOPRI, titular registral del bien, que dispone la emisión del título de propiedad a favor del demandado, no se encuentra firme, sin embargo, constituye un indicio importante respecto a su derecho de poseer, por lo que, de la apreciación conjunta de estos elementos, se advierte la existencia de circunstancias que justificarían la posesión del demandado sobre el bien sub litis, conforme a lo establecido en el Cuarto Pleno Casatorio Civil.","Desalojo,Posesión precaria,apartamiento inmotivado del IV Pleno Casatorio Civil,Derecho a poseer el bien,Título Posesorio",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=fa87bb63-8be1-4e56-aae5-b8c5eeba98c0
Casación,001319-2021,Desalojo por Ocupación Precaria,Ejecutoria Suprema,21/05/2024,Sala Civil Transitoria,Constitución Política del Perú : 139,"Para arribar a una conclusión certera y eficaz, se hace necesario que la Sala de mérito analice detenidamente los elementos fácticos actuados en el proceso, emitiendo el pronunciamiento que corresponda, de modo que, si no ocurre así, se afecta el derecho al debido proceso.","Ocupante Precario,principio tantum apellatum quantum devolutum,Motivacion Insuficiente,Afectación al debido proceso y la debida motivación",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=3e5bce87-4813-4b40-983a-f75dbbd2f933
Casación,000383-2021,Prescripción Adquisitiva de Dominio,Ejecutoria Suprema,21/05/2024,Sala Civil Transitoria,"Código Civil (D. Leg. 295) : 950,Código Civil (D. Leg. 295) : 915","El requisito de continuidad se ha cumplido al haber transcurrido el plazo exigido por la ley, no siendo necesario el hecho de acreditar mes a mes la posesión: basta con acreditar el ejercicio de la posesión de los extremos para aplicar los artículos 950 y 915 del Código Civil.","Presunción iuris tantum,Prescripción Adquisitiva de Dominio,prueba de la posesión,Posesión continua, pacífica,pública",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=3fac9428-a842-42c2-8e4a-2f313ca6cd2a
Casación,001569-2021,Nulidad de Acto Jurídico,Ejecutoria Suprema,21/05/2024,Sala Civil Transitoria,Constitución Política del Perú : 139,"La Sala Superior hace referencia a los argumentos expuestos por los co-demandados recurrentes en sus escritos de contestación, sin embargo, omite hacer referencia a aquellos en los cuales alegan que habrían adquirido el bien inmueble de buena fe y bajo el principio de publicidad registral conforme a los artículos 2012 y 2014 del Código Civil, que habría desconocido del proceso penal sobre Estelionato seguido contra su co-demandada Lidia Concha Asto, de lo cual recién se habrían enterado, después de haber adquirido y transferido el bien, y que habrían adquirido el dicho inmueble sin que exista ninguna carga ni anotación en los registros públicos que restrinja su libre disposición; tanto más, si dichos argumentos fueron reiterados en parte en sus escritos de absolución de traslado de la apelación y adhesión a la apelación, por lo que, consecuentemente, la Sala Superior ha incurrido en defectos de motivación insuficiente, inobservando el deber de motivación previsto en los incisos 5) del artículo 139 de la Constitución Política del Perú.","Fin Ilicito,simulación,Motivación insuficiente,Motivación incongruente,Afectación al debido proceso y la debida motivación",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=c1815d27-729f-4691-b7e9-8ee01132baf9
Casación,000973-2021,Otorgamiento de Escritura Pública,Ejecutoria Suprema,16/05/2024,Sala Civil Transitoria,"Código Procesal Civil : 123,Ley Orgánica del Poder Judicial : 4,Código Procesal Civil : 171","Se aprecia que la Sala Superior no ha vulnerado el derecho a la prueba y a la debida motivación que alega el recurrente, pues ha realizado una valoración conjunta de los medios probatorios ofrecidos en autos, con observancia del debido respeto a la institución de la cosa juzgada respecto lo resuelto en el Expediente N.º 2002-00003-0-040701-JR-CI-01, en ese sentido, la Sentencia de Vista recurrida contiene la suficiente justificación fáctica y jurídica de la decisión adoptada, toda vez que se han resuelto los agravios de apelación, precisando la normativa aplicable al caso en conflicto, y, luego de la valoración conjunta de los recaudos probatorios, se ha concluido según su criterio, que la demanda es fundada, exponiendo las razones de hecho y de derecho que ha considerado pertinentes.","Derecho a la prueba,Calidad de cosa juzgada",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=3ad844f7-75cb-4200-9cd2-c293be5c95d5
Apelación,000495-2020,Exequatur,Ejecutoria Suprema,14/05/2024,Sala Civil Transitoria,,"La sentencia ha adquirido la calidad de cosa juzgada porque los órganos jurisdiccionales competentes de Brasil, se pronunciaron a través de las resoluciones de fechas 27 de agosto de 2013, 08 de octubre de 2013 y 06 de febrero de 2017, desestimando cada uno de los recursos interpuestos por el demandado, además, porque según el certificado de declaración de cosa juzgada del 09 de marzo de 2017, el Supremo Tribunal Federal (Tribunal Constitucional de la República) certifica que el fallo/decisión se declaró como cosa juzgada el 04 de marzo de 2017, día siguiente al término del plazo para interponer recursos.","Cosa Juzgada,derecho internacional privado,sentencia judicial extranjera",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=40cfc764-b733-42a8-9c2b-76c0ffdb3792
Casación,003569-2017,A ingresar,Ejecutoria Suprema,10/05/2024,Sala Civil Transitoria,,"La sentencia de vista ha incurrido en infracción normativa del artículo 219 inciso 5 del Código Civil, por cuanto la simulación absoluta consiste en aparentar la celebración de un acto jurídico en perjuicio de la ley o de terceros ajenos al negocio contenido en aquel, debiendo existir correspondencia con una finalidad concreta y característica de toda simulación, que reside siempre en dar a entender que se quieren unos resultados específicos, cuando en verdad no se quiere ninguno o se desea esconder un propósito diferente, lo cual no se advierte del contrato de compraventa materia de nulidad.","nulidad,SIMULACION ABSOLUTA,Nulidad de acto Juridico",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=45610193-3894-44cc-8ee9-b225e8d0ae72
Casación,000561-2021,Nulidad de Acto Jurídico,Ejecutoria Suprema,09/05/2024,Sala Civil Transitoria,"Código Procesal Civil : 222,Código Procesal Civil : 446","Para tener legitimidad para obrar activa del demandante no es necesario ser titular de un derecho, sino expresar una posición habilitante para demandar toda vez que, la titularidad del derecho es una cuestión de fondo que deberá ser dilucidada en la sentencia, en tanto que, la posición habilitante es una condición procesal mínima para establecer la existencia de una relación jurídico procesal válida.","relacion jurídico procesal válida,excepcion de falta de legitimidad para obrar,Infracción normativa material",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=4bfcc526-04a8-42b8-81c5-d47c11e5ba35
Casación,000203-2021,Ineficacia de Acto Jurídico,Ejecutoria Suprema,09/05/2024,Sala Civil Transitoria,,"Estando a que, en el caso de autos, el contrato de compraventa cuestionado del 05 de mayo de 2010, fue celebrado por el co-demandado Alberto Edgard Henríquez Ayín, en uso de un poder otorgado el 11 de febrero de 1992, por el Liquidador de ese momento Felipe Antonio Thorndike Beltrán, quien a su vez actuó en representación de una persona jurídica en Liquidación, correspondía que el Ad quem evalúe si la transferencia efectuada por el mencionado co-demandado, se encontraba también dentro de los alcances de las facultades que le fueron otorgadas al Liquidador Felipe Antonio Thorndike Beltrán, fallecido el 05 de julio de 2002, atendiendo a la especial naturaleza de la función de Liquidador, que viene a ser distinta a la de los órganos ordinarios de administración de la sociedad, y que, conforme a las normas antes citadas (artículos 413 y 416 de la Ley General de Sociedades), se ejerce conforme a la ley, el estatuto, el pacto social, los convenios entre accionistas y los acuerdos de junta ge","ineficacia,estado de liquidación,Contrato de compra venta",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=c1a0b540-6350-4d7c-a646-fab86de20a22
Casación,000455-2021,Indemnización por Daños y Perjuicios,Ejecutoria Suprema,09/05/2024,Sala Civil Transitoria,,"Existe infracción al derecho al debido proceso en su manifestación de debida motivación, consagrados en los incisos 3 y 5 del artículo 139 de la Constitución Política del Estado. Pues la Sala Superior al resolver la pretensión impugnatoria se desvía del debate procesal al emitir pronunciamiento acerca de su propia competencia, cuando lo cuestionado es si la demanda incoada cumple con los requisitos de procedencia del enriquecimiento sin causa regulado por nuestro ordenamiento jurídico.","MOTIVACION,Debida motivacion,Deber de motivacion",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=8d1689fd-55ff-41b2-8803-21784a06f661
